"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 22 14:32:23 UTC 2022","Fri Apr 22 14:32:32 UTC 2022","8903","","My test application","","My test application","first task","first task",""
"passed","Fri Apr 22 13:59:42 UTC 2022","Fri Apr 22 13:59:57 UTC 2022","14716","","My test application","","My test application","first task","first task",""
"skipped","Fri Apr 22 13:58:52 UTC 2022","Fri Apr 22 13:58:52 UTC 2022","0","","My test application","","My test application","second task","second task",""
"passed","Fri Apr 22 14:32:34 UTC 2022","Fri Apr 22 14:32:34 UTC 2022","486","","My test application","","My test application","using css and xpath locators","using css and xpath locators",""
"passed","Fri Apr 22 14:00:00 UTC 2022","Fri Apr 22 14:00:01 UTC 2022","1217","","My test application","","My test application","using css and xpath locators","using css and xpath locators",""
"passed","Fri Apr 22 14:00:01 UTC 2022","Fri Apr 22 14:00:12 UTC 2022","10756","","My test application","","My test application","using only xpath locators","using only xpath locators",""
"skipped","Fri Apr 22 13:58:52 UTC 2022","Fri Apr 22 13:58:52 UTC 2022","0","","My test application","","My test application","first task","first task",""
"passed","Fri Apr 22 14:32:32 UTC 2022","Fri Apr 22 14:32:34 UTC 2022","1542","","My test application","","My test application","second task","second task",""
"passed","Fri Apr 22 13:59:57 UTC 2022","Fri Apr 22 14:00:00 UTC 2022","3110","","My test application","","My test application","second task","second task",""
"skipped","Fri Apr 22 13:58:52 UTC 2022","Fri Apr 22 13:58:52 UTC 2022","0","","My test application","","My test application","using css and xpath locators","using css and xpath locators",""
"passed","Fri Apr 22 14:32:34 UTC 2022","Fri Apr 22 14:32:43 UTC 2022","8903","","My test application","","My test application","using only xpath locators","using only xpath locators",""
